user,poems
709,"[52, 4716, 1079, 1084, 1090, 7582, 1091, 709, 716, 720, 40, 727, 38, 736, 739, 752, 771, 784, 809, 7882, 7883, 7884, 7885, 7888, 7890, 3233, 3278, 88, 2447, 3242, 13226, 13232]"
717,[4759]
721,"[9529, 393, 9101, 6970, 9521, 9528, 62, 9527]"
724,"[2047, 10554, 5350]"
726,[100]
728,"[8678, 15072, 4694]"
730,[7233]
740,"[14869, 16279, 16512, 16430, 14366, 195, 11541]"
741,"[1900, 2369, 223]"
747,"[1717, 23711]"
749,"[9101, 227, 125, 115]"
751,[8136]
752,"[7882, 8218, 7980]"
756,"[6913, 4596]"
768,"[7882, 7883, 8218]"
769,"[6327, 9636, 4454]"
770,"[114, 11308, 1412]"
776,"[5331, 5893]"
784,"[10297, 11509, 14366, 11693, 25010, 13825, 9685, 9686, 9682, 9681, 9684, 9674, 9687, 9871, 9689, 9680, 9683, 9688, 10527, 10282, 10273, 10347, 10365, 11771, 14053, 12372, 14002, 10270, 10274, 11507, 14411, 14374, 14472, 14475, 14862, 14786, 14921, 10280, 10275, 14688, 14817, 15006, 14923, 15065, 15015, 16512, 16519, 10364, 16255, 10278, 10267, 12863, 10360, 16388, 14869, 10283, 13828, 12763, 10266, 11658, 15069, 16279, 11653, 10281, 16433, 14330, 10361, 13122, 14082, 11772, 16907, 17498, 15718, 10279, 14929, 19726, 15072, 24400, 24688, 17674, 23706, 10363, 27101, 27764, 27916]"
785,"[4605, 9554, 8317, 12921, 14374, 14776, 14202, 14053, 4694, 15072, 98, 38267, 25010, 30251, 6294, 5347, 11263, 4604, 14366]"
798,[11761]
814,"[1146, 183, 4465]"
817,"[17021, 26630]"
822,[3775]
823,[2393]
824,[4911]
832,[8]
839,"[809, 83, 5675, 158, 7522]"
842,"[29385, 35487, 27438, 35489, 28085, 28585, 35390, 28957, 27995, 31112, 30321, 35301, 31161, 28519, 27834, 26512, 26747, 28586, 26925, 28353, 26514, 29381, 26682, 29810, 26830, 28511, 30640, 28361, 28579, 27640, 27684, 27112, 34880, 28510, 28572, 28357, 26633, 28597, 35409]"
850,[1157]
862,[53]
